district_id;car_density;ecar_share;publictransport_meandist;population;green_voteshare;afd_voteshare
6437;649.5;1.7;558.6;97577;11;10.7
6438;603.9;1.8;231.3;362137;16.1;8
6439;652.1;2.3;320.7;189614;16;8.2
6440;617.5;2;268.6;317298;14.9;9.3
6531;561.6;2.1;292.5;278664;17.6;8.7
6532;644.2;1.8;372.2;257289;10.7;12
6533;651.7;2.1;350.4;174884;11.8;9.8
6534;580.9;1.9;451.6;249684;15.9;9
6535;682.9;1.6;1135.7;106833;9.2;12.6
6611;448.5;2.4;197.5;204202;23.1;6.9
6631;638.2;2.3;545.2;227456;10.3;13.3
6632;659.3;1.5;530.4;121566;7.9;12.9
6633;635.2;2.6;306.8;240718;11.6;8.9
6634;661.4;2.2;993.5;182595;10.1;10.7
6635;667.9;2;659.6;159154;10.5;10.3
6636;633.6;1.7;673;100208;10.2;10
7111;558.8;1.9;168.2;115268;18.5;6.5
7131;670.5;1.6;581.9;128161;13.3;6.3
7132;649.1;1.8;403.8;131467;9;10
7133;633;1.8;524.9;161307;10.7;9.1
7134;646.7;1.3;683.7;81760;6.9;11.5
7135;673.2;2;882.6;62666;8.4;7.6
7137;648.8;1.9;453.6;218210;11.1;8.5
7138;653.8;1.8;438.1;187440;11.5;9.5
7140;680.4;1.9;702.2;105566;9.8;9.3
7141;653.4;1.9;724.7;124381;11;8.6
7143;676.6;2.2;697.5;206282;10.1;8.9
7211;483.7;1.9;173.7;112195;21.7;5.7
7231;663.9;1.8;1120;115099;9.5;7.6
7232;658.1;1.9;1585.3;103642;9.2;6.4
7233;686.1;1.6;1271;61769;8.8;7.5
7235;664.5;2.9;1063.2;153860;11.6;6.5
7311;549.7;1.3;217;49051;10.7;12.7
7312;490.5;2.2;176.2;101228;15.1;12
7313;587.5;2.5;218.8;47610;22.2;6.8
7314;485.9;1.7;190.4;174265;12.1;12.6
7315;459.2;2.1;186.4;220552;27.4;4.4
7316;618.1;2.3;211.2;53981;15.9;10.1
7317;570.5;1.6;158.8;40682;6.3;15.4
7318;577.9;1.8;201.7;51368;16.5;10
7319;547.7;1.6;182.7;84646;12;12
7320;620.4;1.9;205.9;34534;9.5;13.2
7331;660.4;2.1;331.7;132536;11.2;11.1
7332;684.8;2.2;385.5;134546;12.5;10.1
7333;671.6;2.1;557.4;76208;9.5;12.1
7334;642.5;1.8;378.1;130793;10.8;12.6
7335;643.6;1.8;412;108216;8.6;13.3
7336;670.3;1.3;556.3;71462;7.4;12.9
